k,pair,ari,nmi
3,0-1,-0.08198736509732678,0.027734401754617596
3,0-2,0.5349404322278252,0.5730199786139143
3,0-3,-0.08878703178310134,0.03011838261112675
3,0-4,-0.020644800154756834,0.039953354004220905
3,1-2,0.28854903245571367,0.412961380487351
3,1-3,0.9489763926203879,0.9122525194455028
3,1-4,0.2906405294790676,0.3988175506783756
3,2-3,0.24052890568255902,0.340712508568519
3,2-4,-0.007063379900459566,0.02647609046035024
3,3-4,0.30163882765636707,0.40791563424181687
4,0-1,0.13128721615945763,0.24304487880780842
4,0-2,0.9961146737501388,0.9832594498477193
4,0-3,0.5134195022055381,0.6449775904263068
4,0-4,0.13441477141251976,0.29078245801444014
4,1-2,0.12797270781252898,0.22907837548571838
4,1-3,0.2848149035144973,0.3935002631149988
4,1-4,0.5815477748785904,0.518791848686654
4,2-3,0.5164964990786958,0.6551211634459244
4,2-4,0.1344711277992573,0.2907274083874292
4,3-4,0.18705430644335128,0.3223566019621404
5,0-1,0.7368722947472736,0.7465767448082932
5,0-2,0.4490471854843321,0.6870318521855404
5,0-3,0.3756895349890756,0.5755368708307704
5,0-4,0.6480447151875283,0.6767272222136776
5,1-2,0.2873636835501712,0.4804586870654831
5,1-3,0.4995317252721132,0.6442567623462702
5,1-4,0.5752981221753086,0.5828178532665762
5,2-3,0.33600728640400634,0.5782128691853136
5,2-4,0.26221201637228436,0.4409629647483746
5,3-4,0.3602762944583982,0.5376349066687346
6,0-1,0.921675883221851,0.9125505536075876
6,0-2,0.39577421808648483,0.6343214857162183
6,0-3,0.7585134877691082,0.7782313709588152
6,0-4,0.7805855552838942,0.7819553636157845
6,1-2,0.4029253297899228,0.6352063450549627
6,1-3,0.7140580970268082,0.7380260381687792
6,1-4,0.7347208266996903,0.7509107729218021
6,2-3,0.28977824161367205,0.5034840424084214
6,2-4,0.26694715186411183,0.4685256580606449
6,3-4,0.6881810754547787,0.7301850335472708
7,0-1,0.8684415490425663,0.860806438584191
7,0-2,0.4537529599895056,0.6802253241558681
7,0-3,0.9057904732394468,0.8938966034260158
7,0-4,0.7477504508410968,0.7405356689862272
7,1-2,0.3513529399191925,0.5971100735101917
7,1-3,0.8365812901275553,0.8551822160939792
7,1-4,0.752014495340519,0.7717505934476319
7,2-3,0.41108697293373514,0.6052337203457135
7,2-4,0.27723935169835506,0.45268964419766544
7,3-4,0.8283210395329167,0.8345539804857453
8,0-1,0.6920577789096272,0.8200702804415685
8,0-2,0.7014222627157385,0.8155763398160453
8,0-3,0.7274667987793026,0.8623751042025581
8,0-4,0.9139827959989772,0.9049654576774987
8,1-2,0.8932265980047325,0.9100609005040033
8,1-3,0.8921689071758032,0.9079035911513592
8,1-4,0.7596672337216727,0.8851490907079774
8,2-3,0.9663809807720427,0.9515133913442121
8,2-4,0.7319001194787396,0.8328683310863114
8,3-4,0.7505227569000233,0.8571609956919443
9,0-1,0.6916235985206947,0.8178858320091787
9,0-2,0.6541381416015826,0.8241521050698758
9,0-3,0.6290468627589249,0.7893059195976927
9,0-4,0.9225608926370671,0.9257726115525116
9,1-2,0.7676452110454348,0.8414431469238149
9,1-3,0.8404928106163495,0.8624287200040657
9,1-4,0.759342773210028,0.8822115493603488
9,2-3,0.7344558377052764,0.80279299500967
9,2-4,0.6131375102960469,0.7686518806583439
9,3-4,0.6561910612689228,0.8028768016738628
10,0-1,0.6721921878658744,0.8130677979684764
10,0-2,0.6140290864400479,0.7689564900392939
10,0-3,0.6846020068264559,0.8404089485799281
10,0-4,0.9834558860150916,0.975655981559116
10,1-2,0.743863033353978,0.8168468540539654
10,1-3,0.9805222053113611,0.9731217840131287
10,1-4,0.6640016197108753,0.7946228364496143
10,2-3,0.7262086263715193,0.7947052816773665
10,2-4,0.626025587910077,0.7900542050001946
10,3-4,0.6763778909689369,0.8221393753338759
12,0-1,0.6113974031605809,0.7649590017221741
12,0-2,0.7167081063111097,0.889076692265101
12,0-3,0.6872833402941866,0.8455424292750997
12,0-4,0.827614211609428,0.9431516566411261
12,1-2,0.714915199263985,0.8250116066567549
12,1-3,0.910128018623328,0.9173589551653645
12,1-4,0.7512845898176247,0.8184290425991849
12,2-3,0.7371387256950843,0.848785755257258
12,2-4,0.8792667152425487,0.9405450572837638
12,3-4,0.8378771611334193,0.8985503964072533
